Tipologia,Tipologia funzionamento,Tipologia scambio,Denominazione Commerciale,Marca,Modello,Identificativo modello unità esterna,Identificativo modello unità interna,Potenza termica [kWt],Presenza inverter,COP,GUE,Emissioni NO2
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 07/300-400V - 9146797,9146808,"7,00",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 07/300-50-400V - 9146797,9146808,"7,00",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 07/300-50S-400V - 9146797,9146808,"7,00",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-06/07-230V-M2,FS-B2,"7,66",SI,"4,81",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-06/07-230V-M2,FS-E6-B2,"7,66",SI,"4,81",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-06/07-230V-M2,FC-200-e6-B2,"7,66",SI,"4,81",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-06/07-230V-M2,FC-200-R35-e6-B2,"7,66",SI,"4,81",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-06/07-230V-M2,FC-300-e6-B2,"7,66",SI,"4,81",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-06/07-230V-M2,FC-300-R50-e6-B2,"7,66",SI,"4,81",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-06/07-230V-M2,FC-300-S50-e6-B2,"7,66",SI,"4,81",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHA-Monoblocco,CHA-Monoblocco 10-400V - 9146798,9146808,"10,10",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 10/200-400V - 9146798,9146808,"10,10",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 10/200-35-400V - 9146798,9146808,"10,10",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 10/300-400V - 9146798,9146808,"10,10",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 10/300-50-400V - 9146798,9146808,"10,10",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 10/300-50S-400V - 9146798,9146808,"10,10",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-08/10-230V-M2,FS-B2,"10,73",SI,"4,69",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-08/10-230V-M2,FS-E6-B2,"10,73",SI,"4,69",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-08/10-230V-M2,FC-200-e6-B2,"10,73",SI,"4,69",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-08/10-230V-M2,FC-200-R35-e6-B2,"10,73",SI,"4,69",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-08/10-230V-M2,FC-300-e6-B2,"10,73",SI,"4,69",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-08/10-230V-M2,FC-300-R50-e6-B2,"10,73",SI,"4,69",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-08/10-230V-M2,FC-300-S50-e6-B2,"10,73",SI,"4,69",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-11/14-400V-M2,FS-C2,"14,65",SI,"4,41",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-11/14-400V-M2,FC-200-e6-C2,"14,65",SI,"4,41",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-11/14-400V-M2,FC-200-R35-e6-C2,"14,65",SI,"4,41",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-14/17-230V-M2,FS-C2,"16,98",SI,"4,17",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-14/17-230V-M2,FS-E6-C2,"16,98",SI,"4,17",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-14/17-230V-M2,FC-300-S50-e6-C2,"16,98",SI,"4,17",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-14/17-400V-M2,FS-C2,"17,02",SI,"4,17",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-14/17-400V-M2,FS-E6-C2,"17,02",SI,"4,17",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-14/17-400V-M2,FC-300-S50-e6-C2,"17,02",SI,"4,17",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHA-Monoblocco,CHA-16/20-400V-M2,CS-e9-C2,"20,00",SI,"4,50",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHA-Monoblocco,CHA-16/20-400V-M2,CS-C2,"20,00",SI,"4,50",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA CENTER-16/20-400V-M2,CC-300-S50-e9-C2,"20,00",SI,"4,50",,
